VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Aug-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/916,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/916,Monthly Google Listing,2500,STAAH
Sales,Aug-2023,La Sunila (C) - STAAH,Rb/ST/23-24/917,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/918,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/918,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Mansionhaus - STAAH,Rb/ST/23-24/919,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Mansionhaus - STAAH,Rb/ST/23-24/919,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/920,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/920,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/921,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/921,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Marina Bay - STAAH New,Rb/ST/23-24/922,Monthly Fees C M,5750,STAAH
Sales,Aug-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/923,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/923,Monthly Fees  B E,2500,STAAH
Sales,Aug-2023,Mateus Boutique Hotel - STAAH,Rb/ST/23-24/924,Monthly Fees C M,2500,STAAH
Sales,Aug-2023,Mi Casa by the Sea - STAAH,Rb/ST/23-24/925,Monthly Fees C M,2500,STAAH
Sales,Aug-2023,Naga Cottages - STAAH,Rb/ST/23-24/926,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/927,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/927,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/927,Monthly Fees RM,1000,STAAH
Sales,Aug-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/927,Monthly Google Listing,1000,STAAH
Sales,Aug-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/928,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/928,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/928,Monthly Fees RM,1000,STAAH
Sales,Aug-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/928,Monthly Google Listing,1000,STAAH
Sales,Aug-2023,Nanutel - STAAH,Rb/ST/23-24/929,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Nanutel - STAAH,Rb/ST/23-24/929,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Nanutel - STAAH,Rb/ST/23-24/929,Monthly Fees RM,1000,STAAH
Sales,Aug-2023,Nanutel - STAAH,Rb/ST/23-24/929,Monthly Google Listing,1000,STAAH
Sales,Aug-2023,Nazri Resort - STAAH,Rb/ST/23-24/930,Booking Engine & C.M.S. (STAAH),4500,STAAH
Sales,Aug-2023,Neelam's The Grand - STAAH,Rb/ST/23-24/931,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Neelam's The Grand - STAAH,Rb/ST/23-24/931,Monthly Fees  B E,2250,STAAH
Sales,Aug-2023,Nilaya Hermitage 1 - STAAH,Rb/ST/23-24/932,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Nilaya Hermitage 1 - STAAH,Rb/ST/23-24/932,Monthly Fees  B E,2200,STAAH
Sales,Aug-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/933,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/933,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/933,Monthly Google Listing,2000,STAAH
Sales,Aug-2023,Pescador - Absolute Waterfront - STAAH,Rb/ST/23-24/934,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Aug-2023,O Pierre - STAAH New,Rb/ST/23-24/935,Booking Engine & C.M.S. (STAAH),3500,STAAH
Sales,Aug-2023,Ocean Suite (C) - STAAH,Rb/ST/23-24/936,Monthly Fees C M,5000,STAAH
Sales,Aug-2023,Oxel House - STAAH New,Rb/ST/23-24/937,Monthly Fees C M,1271.18,STAAH
Sales,Aug-2023,Phoenix Park Inn Resort - STAAH,Rb/ST/23-24/938,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Pinto Rosario Square - Resort & Spa - STAAH,Rb/ST/23-24/939,Booking Engine & C.M.S. (STAAH),4000,STAAH
Sales,Aug-2023,Prainha Resort By The Sea - STAAH,Rb/ST/23-24/940,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Okean De Goa (DeSol) - STAAH,Rb/ST/23-24/941,Monthly Fees C M,6000,STAAH
Sales,Aug-2023,Radisson Goa Candolim - STAAH,Rb/ST/23-24/942,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Rendezvous Beach Resort - STAAH (C),Rb/ST/23-24/943,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Resort De Alturas - STAAH,Rb/ST/23-24/944,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Resort De Alturas - STAAH,Rb/ST/23-24/944,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Martins Siesta - STAAH,Rb/ST/23-24/945,Monthly Fees C M,3500,STAAH
Sales,Aug-2023,Martins Siesta - STAAH,Rb/ST/23-24/945,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Resort Rio - STAAH,Rb/ST/23-24/946,Monthly Fees C M,5500,STAAH
Sales,Aug-2023,Resort Rio - STAAH,Rb/ST/23-24/946,Monthly Fees  B E,2500,STAAH
Sales,Aug-2023,Resort Rio - STAAH,Rb/ST/23-24/946,Monthly Google Listing,800,STAAH
Sales,Aug-2023,Resort Rio - STAAH,Rb/ST/23-24/946,Monthly Fees RM,2500,STAAH
Sales,Aug-2023,Resort Rio - STAAH,Rb/ST/23-24/946,Monthly Opera Fee,4500,STAAH
Sales,Aug-2023,Resort Rio - STAAH,Rb/ST/23-24/946,Monthly Fee Travel Agent Module,2500,STAAH
Sales,Aug-2023,Resort The Lohias - STAAH,Rb/ST/23-24/947,Monthly Fees C M,4500,STAAH
Sales,Aug-2023,Resort The Lohias - STAAH,Rb/ST/23-24/947,Monthly Fees  B E,1500,STAAH
Sales,Aug-2023,Rio Boutique - STAAH,Rb/ST/23-24/948,Monthly Fees C M,4000,STAAH
Sales,Aug-2023,Rio Boutique - STAAH,Rb/ST/23-24/948,Monthly Fees  B E,2000,STAAH
Sales,Aug-2023,Rio Boutique - STAAH,Rb/ST/23-24/948,Monthly Fees RM,1500,STAAH
