VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Dec-2023,Kamat's Hilltop Leisure - STAAH,Rb/ST/23-24/1781,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/1782,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/1782,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,Koko Maya by Stonewoods - STAAH,Rb/ST/23-24/1783,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,La Grace Resort - STAAH,Rb/ST/23-24/1784,Monthly Fees C M,4250,STAAH
Sales,Dec-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1785,Monthly Fees C M,5500,STAAH
Sales,Dec-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1785,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1785,Monthly Google Listing,2500,STAAH
Sales,Dec-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/1786,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/1786,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Mansionhaus - STAAH,Rb/ST/23-24/1787,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Mansionhaus - STAAH,Rb/ST/23-24/1787,Monthly Fees  B E,1500,STAAH
Sales,Dec-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/1788,Monthly Fees C M,3500,STAAH
Sales,Dec-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/1788,Monthly Fees RM,2000,STAAH
Sales,Dec-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/1789,Monthly Fees C M,4000,STAAH
Sales,Dec-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/1789,Monthly Fees  B E,2000,STAAH
Sales,Dec-2023,Marina Bay - STAAH New,Rb/ST/23-24/1790,Monthly Fees C M,5750,STAAH
Sales,Dec-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/1791,Monthly Fees C M,4500,STAAH
Sales,Dec-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/1791,Monthly Fees  B E,2500,STAAH
Sales,Dec-2023,Mateus Boutique Hotel - STAAH,Rb/ST/23-24/1792,Monthly Fees C M,2500,STAAH
Sales,Dec-2023,Mi Casa by the Sea - STAAH,Rb/ST/23-24/1793,Monthly Fees C M,2500,STAAH
Sales,Dec-2023,Naga Cottages - STAAH,Rb/ST/23-24/1794,Monthly Fees C M,2839,STAAH
