VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Jun-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/482,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/482,Monthly Fees  B E,1500,STAAH
Sales,Jun-2023,Joia Do Mar (Pentacle) - STAAH New,Rb/ST/23-24/482,Monthly Google Listing,2500,STAAH
Sales,Jun-2023,Jolan's Guest House - STAAH,Rb/ST/23-24/483,Monthly Fees C M,2100,STAAH
Sales,Jun-2023,Kalki Resorts,Rb/ST/23-24/484,Monthly Fees C M,3000,STAAH
Sales,Jun-2023,Kamat's Hilltop Leisure - STAAH,Rb/ST/23-24/485,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/486,Monthly Fees C M,4500,STAAH
Sales,Jun-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/486,Monthly Fees  B E,2000,STAAH
Sales,Jun-2023,Koko Maya by Stonewoods - STAAH,Rb/ST/23-24/487,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,La Grace Resort - STAAH,Rb/ST/23-24/488,Monthly Fees C M,4250,STAAH
Sales,Jun-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/489,Monthly Fees C M,5500,STAAH
Sales,Jun-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/489,Monthly Fees  B E,2000,STAAH
Sales,Jun-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/489,Monthly Google Listing,2500,STAAH
Sales,Jun-2023,La Sunila (C) - STAAH,Rb/ST/23-24/490,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/491,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/491,Monthly Fees  B E,1500,STAAH
Sales,Jun-2023,Mansionhaus - STAAH,Rb/ST/23-24/492,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Mansionhaus - STAAH,Rb/ST/23-24/492,Monthly Fees  B E,1500,STAAH
Sales,Jun-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/493,Monthly Fees C M,3500,STAAH
Sales,Jun-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/493,Monthly Fees RM,2000,STAAH
Sales,Jun-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/494,Monthly Fees C M,4000,STAAH
Sales,Jun-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/494,Monthly Fees  B E,2000,STAAH
Sales,Jun-2023,Marina Bay - STAAH New,Rb/ST/23-24/495,Monthly Fees C M,5750,STAAH
Sales,Jun-2023,Marina Bay - STAAH New,Rb/ST/23-24/495,Monthly Fees C M,1113,STAAH
Sales,Jun-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/496,Monthly Fees C M,4500,STAAH
