VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Oct-2023,Kamat's Hilltop Leisure - STAAH,Rb/ST/23-24/1338,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/1339,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Royal Haathi Mahal - STAAH,Rb/ST/23-24/1339,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Koko Maya by Stonewoods - STAAH,Rb/ST/23-24/1340,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,La Grace Resort - STAAH,Rb/ST/23-24/1341,Monthly Fees C M,4250,STAAH
Sales,Oct-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1342,Monthly Fees C M,5500,STAAH
Sales,Oct-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1342,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,La Cabana Beach & Spa - STAAH,Rb/ST/23-24/1342,Monthly Google Listing,2500,STAAH
Sales,Oct-2023,La Sunila (C) - STAAH,Rb/ST/23-24/1343,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/1344,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Lario's Beach Holidays - STAAH,Rb/ST/23-24/1344,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Mansionhaus - STAAH,Rb/ST/23-24/1345,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Mansionhaus - STAAH,Rb/ST/23-24/1345,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/1346,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Maravilha Boutique Resort - STAAH New,Rb/ST/23-24/1346,Monthly Fees RM,2000,STAAH
Sales,Oct-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/1347,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Marbela Resort - STAAH (C),Rb/ST/23-24/1347,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Marina Bay - STAAH New,Rb/ST/23-24/1348,Monthly Fees C M,5750,STAAH
Sales,Oct-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/1349,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Marquis Beach Resort - STAAH,Rb/ST/23-24/1349,Monthly Fees  B E,2500,STAAH
Sales,Oct-2023,Mateus Boutique Hotel - STAAH,Rb/ST/23-24/1350,Monthly Fees C M,2500,STAAH
Sales,Oct-2023,Mi Casa by the Sea - STAAH,Rb/ST/23-24/1351,Monthly Fees C M,2500,STAAH
Sales,Oct-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1352,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1352,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1352,Monthly Fees RM,1000,STAAH
Sales,Oct-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1352,Monthly Google Listing,1000,STAAH
Sales,Oct-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1353,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1353,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1353,Monthly Fees RM,1000,STAAH
Sales,Oct-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1353,Monthly Google Listing,1000,STAAH
Sales,Oct-2023,Nanutel - STAAH,Rb/ST/23-24/1354,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Nanutel - STAAH,Rb/ST/23-24/1354,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Nanutel - STAAH,Rb/ST/23-24/1354,Monthly Fees RM,1000,STAAH
Sales,Oct-2023,Nanutel - STAAH,Rb/ST/23-24/1354,Monthly Google Listing,1000,STAAH
Sales,Oct-2023,Nazri Resort - STAAH,Rb/ST/23-24/1355,Booking Engine & C.M.S. (STAAH),5500,STAAH
Sales,Oct-2023,Neelam's The Grand - STAAH,Rb/ST/23-24/1356,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Neelam's The Grand - STAAH,Rb/ST/23-24/1356,Monthly Fees  B E,2250,STAAH
Sales,Oct-2023,Nilaya Hermitage 1 - STAAH,Rb/ST/23-24/1357,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Nilaya Hermitage 1 - STAAH,Rb/ST/23-24/1357,Monthly Fees  B E,2200,STAAH
Sales,Oct-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/1358,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/1358,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/1358,Monthly Google Listing,2000,STAAH
Sales,Oct-2023,Pescador - Absolute Waterfront - STAAH,Rb/ST/23-24/1359,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Oct-2023,O Pierre - STAAH New,Rb/ST/23-24/1360,Booking Engine & C.M.S. (STAAH),3500,STAAH
Sales,Oct-2023,Ocean Suite (C) - STAAH,Rb/ST/23-24/1361,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Oxel House - STAAH New,Rb/ST/23-24/1362,Monthly Fees C M,1271.18,STAAH
Sales,Oct-2023,Phoenix Park Inn Resort - STAAH,Rb/ST/23-24/1363,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Pinto Rosario Square - Resort & Spa - STAAH,Rb/ST/23-24/1364,Booking Engine & C.M.S. (STAAH),4000,STAAH
Sales,Oct-2023,Prainha Resort By The Sea - STAAH,Rb/ST/23-24/1365,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Okean De Goa (DeSol) - STAAH,Rb/ST/23-24/1366,Monthly Fees C M,6000,STAAH
Sales,Oct-2023,Radisson Goa Candolim - STAAH,Rb/ST/23-24/1367,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Rendezvous Beach Resort - STAAH (C),Rb/ST/23-24/1368,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Resort De Alturas - STAAH,Rb/ST/23-24/1369,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Resort De Alturas - STAAH,Rb/ST/23-24/1369,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Martins Siesta - STAAH,Rb/ST/23-24/1370,Monthly Fees C M,3500,STAAH
Sales,Oct-2023,Martins Siesta - STAAH,Rb/ST/23-24/1370,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Resort Rio - STAAH,Rb/ST/23-24/1371,Monthly Fees C M,5500,STAAH
Sales,Oct-2023,Resort Rio - STAAH,Rb/ST/23-24/1371,Monthly Fees  B E,2500,STAAH
Sales,Oct-2023,Resort Rio - STAAH,Rb/ST/23-24/1371,Monthly Google Listing,800,STAAH
Sales,Oct-2023,Resort Rio - STAAH,Rb/ST/23-24/1371,Monthly Fees RM,2500,STAAH
Sales,Oct-2023,Resort Rio - STAAH,Rb/ST/23-24/1371,Monthly Opera Fee,4500,STAAH
Sales,Oct-2023,Resort Rio - STAAH,Rb/ST/23-24/1371,Monthly Fee Travel Agent Module,2500,STAAH
Sales,Oct-2023,Resort Rio - STAAH,Rb/ST/23-24/1371,Monthly Gift Voucher Engine,3500,STAAH
Sales,Oct-2023,Resort The Lohias - STAAH,Rb/ST/23-24/1372,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Resort The Lohias - STAAH,Rb/ST/23-24/1372,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Rio Boutique - STAAH,Rb/ST/23-24/1373,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Rio Boutique - STAAH,Rb/ST/23-24/1373,Monthly Fees  B E,2000,STAAH
Sales,Oct-2023,Rio Boutique - STAAH,Rb/ST/23-24/1373,Monthly Fees RM,1500,STAAH
Sales,Oct-2023,Rio Boutique - STAAH,Rb/ST/23-24/1373,Monthly Google Listing,800,STAAH
Sales,Oct-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1374,Monthly Fees C M,5000,STAAH
Sales,Oct-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1374,Monthly Fees  B E,1250,STAAH
Sales,Oct-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1374,Monthly Fees RM,2000,STAAH
Sales,Oct-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1374,Monthly Google Listing,2000,STAAH
Sales,Oct-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1374,Monthly Fee Travel Agent Module,2500,STAAH
Sales,Oct-2023,Riva Gold Coast - STAAH,Rb/ST/23-24/1375,Monthly Fees C M,4000,STAAH
Sales,Oct-2023,Riva Gold Coast - STAAH,Rb/ST/23-24/1375,Monthly Fees  B E,1500,STAAH
Sales,Oct-2023,Rock Valley - STAAH,Rb/ST/23-24/1376,Monthly Fees C M,1500,STAAH
Sales,Oct-2023,Rock Valley - STAAH,Rb/ST/23-24/1376,Monthly Fees  B E,1000,STAAH
Sales,Oct-2023,Salcete Beach Resort - STAAH,Rb/ST/23-24/1377,Monthly Fees C M,4500,STAAH
Sales,Oct-2023,Sandalwood Hotel & Retreat - STAAH,Rb/ST/23-24/1378,Monthly Fees C M,3500,STAAH
