VCHTYPE,DATE,PARTYLEDGERNAME, INVOICE NUMBER,LEDGERNAME/STOCKITEM,AMOUNT,DEPARTMENT
Sales,Sept-2023,Mi Casa by the Sea - STAAH,Rb/ST/23-24/1142,Monthly Fees C M,2500,STAAH
Sales,Sept-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1143,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1143,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1143,Monthly Fees RM,1000,STAAH
Sales,Sept-2023,Nanu Beach Resort - STAAH,Rb/ST/23-24/1143,Monthly Google Listing,1000,STAAH
Sales,Sept-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1144,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1144,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1144,Monthly Fees RM,1000,STAAH
Sales,Sept-2023,Nanu Resort Arambol - STAAH,Rb/ST/23-24/1144,Monthly Google Listing,1000,STAAH
Sales,Sept-2023,Nanutel - STAAH,Rb/ST/23-24/1145,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Nanutel - STAAH,Rb/ST/23-24/1145,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Nanutel - STAAH,Rb/ST/23-24/1145,Monthly Fees RM,1000,STAAH
Sales,Sept-2023,Nanutel - STAAH,Rb/ST/23-24/1145,Monthly Google Listing,1000,STAAH
Sales,Sept-2023,Nazri Resort - STAAH,Rb/ST/23-24/1146,Booking Engine & C.M.S. (STAAH),4500,STAAH
Sales,Sept-2023,Neelam's The Grand - STAAH,Rb/ST/23-24/1147,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Neelam's The Grand - STAAH,Rb/ST/23-24/1147,Monthly Fees  B E,2250,STAAH
Sales,Sept-2023,Nilaya Hermitage 1 - STAAH,Rb/ST/23-24/1148,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Nilaya Hermitage 1 - STAAH,Rb/ST/23-24/1148,Monthly Fees  B E,2200,STAAH
Sales,Sept-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/1149,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/1149,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Nirvana Hill Resort - STAAH,Rb/ST/23-24/1149,Monthly Google Listing,2000,STAAH
Sales,Sept-2023,Pescador - Absolute Waterfront - STAAH,Rb/ST/23-24/1150,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Sept-2023,O Pierre - STAAH New,Rb/ST/23-24/1151,Booking Engine & C.M.S. (STAAH),3500,STAAH
Sales,Sept-2023,Ocean Suite (C) - STAAH,Rb/ST/23-24/1152,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Oxel House - STAAH New,Rb/ST/23-24/1153,Monthly Fees C M,1271.18,STAAH
Sales,Sept-2023,Phoenix Park Inn Resort - STAAH,Rb/ST/23-24/1154,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Pinto Rosario Square - Resort & Spa - STAAH,Rb/ST/23-24/1155,Booking Engine & C.M.S. (STAAH),4000,STAAH
Sales,Sept-2023,Prainha Resort By The Sea - STAAH,Rb/ST/23-24/1156,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Okean De Goa (DeSol) - STAAH,Rb/ST/23-24/1157,Monthly Fees C M,6000,STAAH
Sales,Sept-2023,Radisson Goa Candolim - STAAH,Rb/ST/23-24/1158,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Rendezvous Beach Resort - STAAH (C),Rb/ST/23-24/1159,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Resort De Alturas - STAAH,Rb/ST/23-24/1160,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Resort De Alturas - STAAH,Rb/ST/23-24/1160,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Martins Siesta - STAAH,Rb/ST/23-24/1161,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Martins Siesta - STAAH,Rb/ST/23-24/1161,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Resort Rio - STAAH,Rb/ST/23-24/1162,Monthly Fees C M,5500,STAAH
Sales,Sept-2023,Resort Rio - STAAH,Rb/ST/23-24/1162,Monthly Fees  B E,2500,STAAH
Sales,Sept-2023,Resort Rio - STAAH,Rb/ST/23-24/1162,Monthly Google Listing,800,STAAH
Sales,Sept-2023,Resort Rio - STAAH,Rb/ST/23-24/1162,Monthly Opera Fee,4500,STAAH
Sales,Sept-2023,Resort Rio - STAAH,Rb/ST/23-24/1162,Monthly Fees RM,2500,STAAH
Sales,Sept-2023,Resort Rio - STAAH,Rb/ST/23-24/1162,Monthly Fee Travel Agent Module,2500,STAAH
Sales,Sept-2023,Resort Rio - STAAH,Rb/ST/23-24/1162,Monthly Gift Voucher Engine,3500,STAAH
Sales,Sept-2023,Resort Rio - STAAH,Rb/ST/23-24/1162,Monthly Gift Voucher Engine,1129,STAAH
Sales,Sept-2023,Resort The Lohias - STAAH,Rb/ST/23-24/1163,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Resort The Lohias - STAAH,Rb/ST/23-24/1163,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Rio Boutique - STAAH,Rb/ST/23-24/1164,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Rio Boutique - STAAH,Rb/ST/23-24/1164,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Rio Boutique - STAAH,Rb/ST/23-24/1164,Monthly Fees RM,1500,STAAH
Sales,Sept-2023,Rio Boutique - STAAH,Rb/ST/23-24/1164,Monthly Google Listing,800,STAAH
Sales,Sept-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1165,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1165,Monthly Fees  B E,1250,STAAH
Sales,Sept-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1165,Monthly Fees RM,2000,STAAH
Sales,Sept-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1165,Monthly Google Listing,2000,STAAH
Sales,Sept-2023,Riva Beach Resort - STAAH,Rb/ST/23-24/1165,Monthly Fee Travel Agent Module,2500,STAAH
Sales,Sept-2023,Riva Gold Coast - STAAH,Rb/ST/23-24/1166,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Riva Gold Coast - STAAH,Rb/ST/23-24/1166,Monthly Fees  B E,1500,STAAH
Sales,Sept-2023,Rock Valley - STAAH,Rb/ST/23-24/1167,Monthly Fees C M,3000,STAAH
Sales,Sept-2023,Rock Valley - STAAH,Rb/ST/23-24/1167,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Salcete Beach Resort - STAAH,Rb/ST/23-24/1168,Monthly Fees C M,4500,STAAH
Sales,Sept-2023,Sandalwood Hotel & Retreat - STAAH,Rb/ST/23-24/1169,Monthly Fees C M,3500,STAAH
Sales,Sept-2023,Sanskruti Quality Resort - STAAH,Rb/ST/23-24/1170,Monthly CM (1),4500,STAAH
Sales,Sept-2023,Santiago Beach Resort (New Desouza) - STAAH,Rb/ST/23-24/1171,Booking Engine & C.M.S. (STAAH),5000,STAAH
Sales,Sept-2023,Sea Mist Resorts - STAAH,Rb/ST/23-24/1172,Monthly Fees C M,4250,STAAH
Sales,Sept-2023,Sea Mist Resorts - STAAH,Rb/ST/23-24/1172,Monthly Fees  B E,2500,STAAH
Sales,Sept-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/1173,Monthly Fees C M,5500,STAAH
Sales,Sept-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/1173,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Sea Queen Beach Resort & Spa - STAAH,Rb/ST/23-24/1173,Monthly Google Listing,2200,STAAH
Sales,Sept-2023,Sea Shell Villas - STAAH,Rb/ST/23-24/1174,Monthly Fees C M,5250,STAAH
Sales,Sept-2023,Sea Shell Villas - STAAH,Rb/ST/23-24/1174,Monthly Fees  B E,2750,STAAH
Sales,Sept-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/1175,Monthly Fees C M,5000,STAAH
Sales,Sept-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/1175,Monthly Fees  B E,2000,STAAH
Sales,Sept-2023,Shanu's Seaside Inn - STAAH,Rb/ST/23-24/1175,Monthly Google Listing,2500,STAAH
Sales,Sept-2023,Sibaya Beach Resort - STAAH,Rb/ST/23-24/1176,Monthly Fees C M,4000,STAAH
Sales,Sept-2023,Sibaya Beach Resort - STAAH,Rb/ST/23-24/1176,Monthly Fees  B E,1000,STAAH
