VCHTYPE,DATE,VCHSTATUSDATE,NARRATION,ENTEREDBY,CMPGSTIN,VOUCHERTYPENAME,PARTYLEDGERNAME,VOUCHERNUMBER,CMPGSTREGISTRATIONTYPE,CMPGSTSTATE,NUMBERINGSTYLE,VCHSTATUSVOUCHERTYPE,VCHSTATUSTAXUNIT,VCHENTRYMODE,EFFECTIVEDATE,ALTERID,MASTERID,VOUCHERKEY,VOUCHERRETAINKEY,LEDGERNAME,GSTCLASS,AMOUNT,VATEXPAMOUNT,LEDGERNAME,GSTCLASS,AMOUNT,VATEXPAMOUNT
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,De Mandarin Bangalore - STAAH New,Rb/ST/23-24/244,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115153, 68062,193471096815992,67085,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,De Mandarin Beach Suites - STAAH,Rb/ST/23-24/245,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115154, 68063,193471096816000,67089,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,De Mandarin Goa - STAAH,Rb/ST/23-24/246,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115155, 68064,193471096816008,67093,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Devasthali - STAAH,Rb/ST/23-24/247,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115156, 68065,193471096816016,67097,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Andores Resort & Spa - STAAH,Rb/ST/23-24/248,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115157, 68066,193471096816024,67101,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Green Valley Beach Resort - STAAH,Rb/ST/23-24/249,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115158, 68067,193471096816032,67105,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Eros Boutique - STAAH New,Rb/ST/23-24/250,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115159, 68068,193471096816040,67109,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),,chelsea,30AAECR9843B1ZN,Sales,Ruhe Stay Villas - STAAH,Rb/ST/23-24/251,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115160, 68069,193471096816048,67113,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Estrela Do Mar - STAAH,Rb/ST/23-24/252,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115161, 68070,193471096816056,67117,,,0,0,,,0,0
Sales,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time),May 2023,chelsea,30AAECR9843B1ZN,Sales,Fahrenheit Hotels and Resorts - STAAH,Rb/ST/23-24/253,Regular,Goa,Manual,Sales,Goa Registration,Accounting Invoice,Mon May 01 2023 05:30:00 GMT+0530 (India Standard Time), 115430, 68071,193471096816064,67121,,,0,0,,,0,0
